From	To	Species	Gene Name
20680	MGI:98369	Mus musculus	SRY (sex determining region Y)-box 7(Sox7)
15370	MGI:1352454	Mus musculus	nuclear receptor subfamily 4, group A, member 1(Nr4a1)
15372	MGI:107159	Mus musculus	H6 homeobox 2(Hmx2)
217082	MGI:96108	Mus musculus	hepatic leukemia factor(Hlf)
15375	MGI:1347472	Mus musculus	forkhead box A1(Foxa1)
15376	MGI:1347476	Mus musculus	forkhead box A2(Foxa2)
232286	MGI:2684999	Mus musculus	TATA element modulatory factor 1(Tmf1)
27140	MGI:1351209	Mus musculus	T cell leukemia, homeobox 3(Tlx3)
381463	MGI:3026618	Mus musculus	nuclear receptor subfamily 1, group H, member 5(Nr1h5)
20020	MGI:98086	Mus musculus	polymerase (RNA) II (DNA directed) polypeptide A(Polr2a)
20022	MGI:109582	Mus musculus	polymerase (RNA) II (DNA directed) polypeptide J(Polr2j)
20024	MGI:104811	Mus musculus	SUB1 homolog (S. cerevisiae)(Sub1)
195733	MGI:2182540	Mus musculus	grainyhead-like 1 (Drosophila)(Grhl1)
84704	MGI:1891236	Mus musculus	SNRPN upstream reading frame(Snurf)
15379	MGI:1196423	Mus musculus	one cut domain, family member 1(Onecut1)
15378	MGI:109128	Mus musculus	hepatic nuclear factor 4, alpha(Hnf4a)
23871	MGI:95455	Mus musculus	E26 avian leukemia oncogene 1, 5' domain(Ets1)
23872	MGI:95456	Mus musculus	E26 avian leukemia oncogene 2, 3' domain(Ets2)
94353	MGI:2138069	Mus musculus	high mobility group nucleosomal binding domain 3(Hmgn3)
57261	MGI:1888520	Mus musculus	bromodomain containing 4(Brd4)
15361	MGI:96160	Mus musculus	high mobility group AT-hook 1(Hmga1)
52679	MGI:1289147	Mus musculus	E2F transcription factor 7(E2f7)
20423	MGI:98297	Mus musculus	sonic hedgehog(Shh)
68750	MGI:2443664	Mus musculus	ras responsive element binding protein 1(Rreb1)
83993	MGI:1891158	Mus musculus	T-box 19(Tbx19)
20017	MGI:108014	Mus musculus	polymerase (RNA) I polypeptide B(Polr1b)
228869	MGI:2385165	Mus musculus	nuclear receptor coactivator 5(Ncoa5)
22324	MGI:98923	Mus musculus	vav 1 oncogene(Vav1)
19877	MGI:107927	Mus musculus	Rho-associated coiled-coil containing protein kinase 1(Rock1)
22326	MGI:1277163	Mus musculus	ventral anterior homeobox 1(Vax1)
19878	MGI:107926	Mus musculus	Rho-associated coiled-coil containing protein kinase 2(Rock2)
21372	MGI:1336172	Mus musculus	transducin (beta)-like 1 X-linked(Tbl1x)
59004	MGI:2136940	Mus musculus	protein inhibitor of activated STAT 4(Pias4)
23857	MGI:1344415	Mus musculus	cyclin D binding myb-like transcription factor 1(Dmtf1)
66277	MGI:1929988	Mus musculus	Kruppel-like factor 15(Klf15)
13555	MGI:101941	Mus musculus	E2F transcription factor 1(E2f1)
272382	MGI:892986	Mus musculus	Spi-B transcription factor (Spi-1/PU.1 related)(Spib)
13557	MGI:1096340	Mus musculus	E2F transcription factor 3(E2f3)
93691	MGI:1935151	Mus musculus	Kruppel-like factor 7 (ubiquitous)(Klf7)
13559	MGI:105091	Mus musculus	E2F transcription factor 5(E2f5)
21375	MGI:107404	Mus musculus	T-box brain gene 1(Tbr1)
18426	MGI:1330290	Mus musculus	ovo like zinc finger 1(Ovol1)
16478	MGI:96648	Mus musculus	jun D proto-oncogene(Jund)
13345	MGI:104685	Mus musculus	twist basic helix-loop-helix transcription factor 2(Twist2)
97064	MGI:1917649	Mus musculus	WW domain containing transcription regulator 1(Wwtr1)
67733	MGI:1914983	Mus musculus	integrin beta 3 binding protein (beta3-endonexin)(Itgb3bp)
75901	MGI:1923151	Mus musculus	decapping mRNA 1A(Dcp1a)
13542	MGI:94941	Mus musculus	dishevelled segment polarity protein 1(Dvl1)
16476	MGI:96646	Mus musculus	jun proto-oncogene(Jun)
16477	MGI:96647	Mus musculus	jun B proto-oncogene(Junb)
18424	MGI:97451	Mus musculus	orthodenticle homeobox 2(Otx2)
14200	MGI:1338762	Mus musculus	four and a half LIM domains 2(Fhl2)
58805	MGI:1927999	Mus musculus	MLX interacting protein-like(Mlxipl)
21781	MGI:101934	Mus musculus	transcription factor Dp 1(Tfdp1)
21780	MGI:107810	Mus musculus	transcription factor A, mitochondrial(Tfam)
232906	MGI:1929494	Mus musculus	Rho GTPase activating protein 35(Arhgap35)
23834	MGI:1345150	Mus musculus	cell division cycle 6(Cdc6)
53970	MGI:1858421	Mus musculus	regulatory factor X, 5 (influences HLA class II expression)(Rfx5)
224903	MGI:2146974	Mus musculus	scaffold attachment factor B(Safb)
59024	MGI:1926212	Mus musculus	mediator complex subunit 12(Med12)
69852	MGI:1934960	Mus musculus	transcription factor 23(Tcf23)
19127	MGI:109330	Mus musculus	paired like homeodomain factor 1(Prop1)
